compound,cluster,T,k_ref,k_pred,k_pred_hurdle,p_low,n_ref_rows,klass,Yfam,ratio,ape,suspect_ref
ErSbPd,half:X=Er,1000.0,6.181769492017292,1.9587,1.4481,0.6313,1,half,Sb,0.316851025022743,68.3148974977257,False
GdBiPd,half:X=Gd,300.0,3.533854202554079,5.6097,5.511,0.0071,1,half,Bi,1.5874169330318189,58.74169330318188,False
GdBiPd,half:X=Gd,400.0,3.548746120990254,3.4706,4.2047,0.0152,2,half,Bi,0.9779792303179896,2.2020769682010366,False
GdBiPd,half:X=Gd,500.0,3.683310982078742,2.5598,3.4655,0.0166,2,half,Bi,0.6949725430339122,30.502745696608773,False
GdBiPd,half:X=Gd,600.0,3.8316026851067573,1.9517,2.9589,0.0295,2,half,Bi,0.5093690970585645,49.06309029414355,False
GdBiPd,half:X=Gd,700.0,3.984187549465276,1.6438,1.9459,0.4108,2,half,Bi,0.41258097908082086,58.74190209191791,False
GdBiPd,half:X=Gd,800.0,3.800600678382332,1.392,1.6404,0.5049,2,half,Bi,0.3662578938949418,63.37421061050582,False
GdBiPd,half:X=Gd,900.0,3.604218541408006,1.1945,1.2479,0.7239,2,half,Bi,0.33141719523294016,66.85828047670599,False
GdBiPd,half:X=Gd,1000.0,3.438096672285773,1.007,1.0816,0.7617,1,half,Bi,0.29289461466204475,70.71053853379551,False
HfCoSb,half:X=Hf,300.0,13.02608802089092,12.6273,12.4591,0.0041,2,half,Co,0.9693854348096409,3.0614565190359087,False
HfCoSb,half:X=Hf,400.0,11.872989839773657,10.2911,9.796,0.0032,6,half,Co,0.8667656705580223,13.323432944197767,False
HfCoSb,half:X=Hf,500.0,10.213925960499422,8.4343,8.2989,0.0033,6,half,Co,0.8257647483071823,17.42352516928177,False
HfCoSb,half:X=Hf,600.0,9.217342850593628,7.2996,7.3719,0.0014,6,half,Co,0.7919418989096062,20.805810109039385,False
HfCoSb,half:X=Hf,700.0,8.190527118539055,6.1999,6.9229,0.0038,6,half,Co,0.7569598281369071,24.304017186309288,False
HfCoSb,half:X=Hf,800.0,7.469718420699261,5.3674,6.0955,0.0046,6,half,Co,0.7185545287927391,28.1445471207261,False
HfCoSb,half:X=Hf,900.0,7.075470011985956,4.889,5.5963,0.0056,6,half,Co,0.6909788313310576,30.90211686689424,False
HfCoSb,half:X=Hf,1000.0,6.69443878308855,4.3671,5.0132,0.0062,3,half,Co,0.6523474396438042,34.765256035619586,False
HfNiSn,half:X=Hf,200.0,8.777171877933126,16.6821,16.0361,0.0005,14,half,Ni,1.9006235985808617,90.06235985808617,False
HfNiSn,half:X=Hf,300.0,7.3940486041819655,11.2666,10.8299,0.002,28,half,Ni,1.5237389694230272,52.37389694230271,False
HfNiSn,half:X=Hf,400.0,4.411405169028592,9.1298,9.0629,0.0016,8,half,Ni,2.06958999461172,106.95899946117203,False
HfNiSn,half:X=Hf,500.0,4.017042860588078,7.4685,7.5722,0.0016,11,half,Ni,1.8592034636410733,85.92034636410733,False
HfNiSn,half:X=Hf,600.0,3.733762790414442,6.5206,7.033,0.0007,10,half,Ni,1.7463883931620154,74.63883931620154,False
HfNiSn,half:X=Hf,700.0,3.403785702260114,5.5494,6.6631,0.0018,8,half,Ni,1.6303611582583468,63.036115825834685,False
HfNiSn,half:X=Hf,800.0,3.386623,4.8816,5.8752,0.0022,9,half,Ni,1.441435908277951,44.14359082779511,False
HfNiSn,half:X=Hf,900.0,3.436483916995212,4.4418,5.3499,0.0029,6,half,Ni,1.2925420596421164,29.25420596421165,False
HfSnPt,half:X=Hf,300.0,14.944991999498072,10.1597,9.6126,0.0256,2,half,Sn,0.6798063190894458,32.01936809105542,False
HfSnPt,half:X=Hf,400.0,12.224938335923909,7.9168,7.7888,0.0199,2,half,Sn,0.6475942685727815,35.24057314272185,False
HfSnPt,half:X=Hf,500.0,10.445896264582863,6.6281,6.8069,0.0186,2,half,Sn,0.6345171186959591,36.548288130404096,False
HfSnPt,half:X=Hf,600.0,8.93500024461376,5.2893,6.1929,0.0153,2,half,Sn,0.5919753615215088,40.802463847849126,False
HfSnPt,half:X=Hf,700.0,7.977856141758178,4.5319,5.5372,0.01,2,half,Sn,0.5680598796810655,43.19401203189344,False
HfSnPt,half:X=Hf,800.0,7.186273879059151,3.7034,4.8741,0.0102,2,half,Sn,0.515343565013815,48.4656434986185,False
HfSnPt,half:X=Hf,900.0,6.38119097281691,3.3401,4.5854,0.0119,2,half,Sn,0.5234289357940259,47.65710642059741,False
HfSnPt,half:X=Hf,1000.0,5.861189218066931,3.002,4.0724,0.0128,2,half,Sn,0.5121827479560682,48.781725204393176,False
HfSnPt,half:X=Hf,1100.0,5.57315894494066,2.9194,4.0724,0.0128,2,half,Sn,0.5238321800691231,47.61678199308769,False
HoNiSb,half:X=Ho,200.0,4.191471334541747,13.4522,14.1311,0.01,5,half,Ni,3.2094219252177534,220.94219252177533,False
HoNiSb,half:X=Ho,300.0,4.39662494988665,9.4138,8.7649,0.0439,3,half,Ni,2.141142377914836,114.11423779148363,False
HoSbPd,half:X=Ho,200.0,2.0373205949976225,7.9829,9.2482,0.0069,10,half,Sb,3.918332745273856,291.8332745273856,False
HoSbPd,half:X=Ho,300.0,1.9844781698305176,5.574,6.3259,0.0299,11,half,Sb,2.808798849360002,180.87988493600017,False
